DATASET_TITLE,"Domestic Energy Consumption, 2011",,,,,,,,FROM,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011,Jan-2011
AREA_TYPE,Former Local Authority,,,,,,,,TO,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011,Dec-2011
GEO_HIERARCHY,2001 Statistical Geography Hierarchy,,,,,,,,HEADING,Total Consumption of Domestic Electricity and Gas,Consumption of Ordinary Domestic Electricity,Consumption of Economy 7 Domestic Electricity,Consumption of Domestic Gas,Number of Ordinary Domestic Electricity meters,Average Consumption of Ordinary Domestic Electricity,Number of Economy 7 Domestic Electricity meters,Average Consumption of Economy 7 Domestic Electricity,Number of Domestic Gas meters,Average Consumption of Domestic Gas
,,,,,,,,,MEASUREMENT_UNIT,Count,Count,Count,Count,Count,Average,Count,Average,Count,Average
,,,,,,,,,STATISTICAL_UNIT,Megawatt Hours,Megawatt Hours,Megawatt Hours,Megawatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours,Meter Points,Kilowatt Hours
GOR_CODE,GOR_NAME,CTY_CODE,CTY_NAME,LA_CODE,LA_NAME,FLA_CODE,FLA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
"E12000001","North East",,,"E06000047","Durham","E07000054","Chester-le-Street",,,425072,75666,5594,343812,22542,3357,984,5685,23812,14439
"E12000001","North East",,,"E06000047","Durham","E07000055","Derwentside",,,752693,133222,10724,608748,40158,3317,1874,5722,39986,15224
"E12000001","North East",,,"E06000047","Durham","E07000056","Durham",,,705571,125088,11275,569208,37064,3375,1889,5969,36952,15404
"E12000001","North East",,,"E06000047","Durham","E07000057","Easington",,,728881,130062,8696,590123,39895,3260,1348,6451,41146,14342
"E12000001","North East",,,"E06000047","Durham","E07000058","Sedgefield",,,682793,128081,7378,547333,38860,3296,1336,5522,39399,13892
"E12000001","North East",,,"E06000047","Durham","E07000059","Teesdale",,,157900,40620,13050,104230,10191,3986,2012,6486,6369,16365
"E12000001","North East",,,"E06000047","Durham","E07000060","Wear Valley",,,500428,97821,8553,394054,29207,3349,1469,5822,27287,14441
"E12000001","North East",,,"E06000048","Northumberland","E07000157","Alnwick",,,227487,50568,17661,159258,13564,3728,2582,6840,10283,15488
"E12000001","North East",,,"E06000048","Northumberland","E07000158","Berwick-upon-Tweed",,,173188,41653,29849,101686,11174,3728,5195,5746,7120,14282
"E12000001","North East",,,"E06000048","Northumberland","E07000159","Blyth Valley",,,602826,113159,8158,481509,33726,3355,1646,4956,35817,13444
"E12000001","North East",,,"E06000048","Northumberland","E07000160","Castle Morpeth",,,418033,87802,11372,318859,20905,4200,1741,6532,17514,18206
"E12000001","North East",,,"E06000048","Northumberland","E07000161","Tynedale",,,411215,98257,23363,289595,24270,4049,3569,6546,16980,17055
"E12000001","North East",,,"E06000048","Northumberland","E07000162","Wansbeck",,,462623,89499,4716,368408,27202,3290,852,5535,27497,13398
"E12000002","North West",,,"E06000049","Cheshire East","E07000014","Congleton",,,739647,148311,19332,572003,37241,3982,3090,6256,36891,15505
"E12000002","North West",,,"E06000049","Cheshire East","E07000015","Crewe and Nantwich",,,784617,188367,34202,562047,47414,3973,4705,7269,42153,13334
"E12000002","North West",,,"E06000049","Cheshire East","E07000017","Macclesfield",,,1404322,277625,55652,1071046,62728,4426,8133,6843,61079,17535
"E12000002","North West",,,"E06000050","Cheshire West and Chester","E07000013","Chester",,,891271,196711,36988,657572,50699,3880,5320,6953,46664,14092
"E12000002","North West",,,"E06000050","Cheshire West and Chester","E07000016","Ellesmere Port & Neston",,,591709,128313,8153,455242,34009,3773,1302,6262,34365,13247
"E12000002","North West",,,"E06000050","Cheshire West and Chester","E07000018","Vale Royal",,,940672,205198,21868,713606,50470,4066,3159,6922,48720,14647
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000182","Bridgnorth",,,324797,82594,27075,215127,19838,4163,4000,6769,15422,13949
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000183","North Shropshire",,,335748,93898,27768,214082,22348,4202,3753,7399,15722,13617
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000184","Oswestry",,,235321,60212,17431,157679,15306,3934,2334,7468,12141,12987
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000185","Shrewsbury and Atcham",,,631546,141184,43795,446567,37848,3730,6745,6493,34240,13042
"E12000005","West Midlands",,,"E06000051","Shropshire","E07000186","South Shropshire",,,210630,64406,38392,107831,15290,4212,5292,7255,8003,13474
"E12000006","East of England",,,"E06000056","Central Bedfordshire","E07000001","Mid Bedfordshire",,,934040,148113,108963,676964,36448,4064,20358,5352,47698,14193
"E12000006","East of England",,,"E06000056","Central Bedfordshire","E07000003","South Bedfordshire",,,885263,139001,82384,663878,35453,3921,16218,5080,46140,14388
"E12000009","South West",,,"E06000052","Cornwall","E07000019","Caradon",,,426983,120678,74056,232250,30094,4010,10319,7177,21467,10819
"E12000009","South West",,,"E06000052","Cornwall","E07000020","Carrick",,,485799,130543,92560,262696,32697,3993,12837,7210,22998,11423
"E12000009","South West",,,"E06000052","Cornwall","E07000021","Kerrier",,,442572,138654,91854,212063,33410,4150,12558,7314,20303,10445
"E12000009","South West",,,"E06000052","Cornwall","E07000022","North Cornwall",,,424669,123987,105237,195446,30271,4096,14164,7430,16718,11691
"E12000009","South West",,,"E06000052","Cornwall","E07000023","Penwith",,,350420,91123,64662,194635,24978,3648,9734,6643,18457,10545
"E12000009","South West",,,"E06000052","Cornwall","E07000024","Restormel",,,540166,140558,106509,293099,34000,4134,14148,7528,25015,11717
"E12000009","South West",,,"E06000054","Wiltshire","E07000230","Kennet",,,428669,129419,81145,218105,28606,4524,9336,8692,15147,14399
"E12000009","South West",,,"E06000054","Wiltshire","E07000231","North Wiltshire",,,828029,218372,56948,552709,51749,4220,7737,7360,40733,13569
"E12000009","South West",,,"E06000054","Wiltshire","E07000232","Salisbury",,,698750,181867,66036,450848,43300,4200,8462,7804,33341,13522
"E12000009","South West",,,"E06000054","Wiltshire","E07000233","West Wiltshire",,,829370,199238,59694,570438,50254,3965,8279,7210,43530,13104